year,org,line_item,frn,function,product,mbps,unit_monthly,per_mbps,recipient,city,county,entity_type,provider,bids,contract_type,award_date,discount,students,usac_rural,monthly_share,alloc_method,recips_on_circuit
2016,YUPIIT SCHOOL DISTRICT,1699095432.001,1699095432,Wireless,Microwave,100.0,150615.0,1506.15,Akiachak School,Akiachak,Aleutians East,School,(not stated),,,,,,,50205.0,even_split,3
2016,YUPIIT SCHOOL DISTRICT,1699095432.001,1699095432,Wireless,Microwave,100.0,150615.0,1506.15,Tuluksak School,Tuluksak,Bethel,School,(not stated),,,,,,,50205.0,even_split,3
2016,YUPIIT SCHOOL DISTRICT,1699095432.001,1699095432,Wireless,Microwave,100.0,150615.0,1506.15,Akiak School,Akiak,Bethel,School,(not stated),,,,,,,50205.0,even_split,3
2016,SOUTHWEST REGION SCHOOL DIST,1699011976.007,1699011976,Copper,Ethernet,10.0,35524.0,3552.4,Twin Hills School,Twin Hills,Dillingham Census Area,School,(not stated),,,,,,,35524.0,even_split,1
2016,ANCHORAGE SCHOOL DISTRICT,1699104677.001,1699104677,Fiber,Ethernet,1000.0,22500.0,22.5,Aurora Elementary School,Anchorage,Anchorage Municipality,School,(not stated),,,,,,,436.8932038834951,even_split,103
2016,ANCHORAGE SCHOOL DISTRICT,1699104677.001,1699104677,Fiber,Ethernet,1000.0,22500.0,22.5,South Anchorage High School,Anchorage,Anchorage Municipality,School,(not stated),,,,,,,436.8932038834951,even_split,103
2016,ANCHORAGE SCHOOL DISTRICT,1699104677.001,1699104677,Fiber,Ethernet,1000.0,22500.0,22.5,Dimond High School,Anchorage,Anchorage Municipality,School,(not stated),,,,,,,436.8932038834951,even_split,103
2016,ANCHORAGE SCHOOL DISTRICT,1699104677.001,1699104677,Fiber,Ethernet,1000.0,22500.0,22.5,Klatt Elementary School,Anchorage,Anchorage Municipality,School,(not stated),,,,,,,436.8932038834951,even_split,103
2016,ANCHORAGE SCHOOL DISTRICT,1699104677.001,1699104677,Fiber,Ethernet,1000.0,22500.0,22.5,Kincaid Elementary School,Anchorage,Anchorage Municipality,School,(not stated),,,,,,,436.8932038834951,even_split,103
2016,ANCHORAGE SCHOOL DISTRICT,1699104677.001,1699104677,Fiber,Ethernet,1000.0,22500.0,22.5,Wendler Middle School,Anchorage,Anchorage Municipality,School,(not stated),,,,,,,436.8932038834951,even_split,103
